Видеокарта,Цена,комплектация,область применения,особенности,объем видеопамяти,тип памяти,частота памяти,шина обмена с памятью,частота видеопроцессора,разъемы и интерфейсы,тип подключения,поддержка технологий,разъем дополнительного питания,максимальное разрешение,количество поддерживаемых мониторов,техпроцесс,TDP,SLI/NVLink/CrossFire
Видеокарта ASUS 24 ГБ (ROG Strix GeForce RTX 4090 OC Edition 24GB GDDR6X),278080,Retail,игровая,"внешняя видеокарта, пассивное охлаждение",24576 МБ,GDDR6X,2640 МГц,384 бит,,"выход DisplayPort, выход HDMI, выход HDMI x 2",,,,7680x4320,4,,,
"Видеокарта MSI GeForce RTX 4090 GAMING X TRIO 24G, Retail",183891,Retail,игровая,необходимость дополнительного питания,24576 МБ,GDDR6X,21000 МГц,384 бит,2595 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",16 pin,7680x4320,4,4 нм,450 Вт,
"Видеокарта AFOX Radeon RX 550 2 GB (AFRX550-2048D5H4-V6), Retail",6890,Retail,игровая,,2048 МБ,GDDR5,6000 МГц,128 бит,1183 МГц,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,поддержка HDCP,,3840x2160,3,14 нм,50 Вт,
"Видеокарта ASUS GeForce RTX3060 Ti LHR 8 Gb (DUAL-RTX3060TI-8G-MINI-V2), Retail",43500,Retail,игровая,Low Hash Rate,8192 МБ,GDDR6,14000 МГц,256 бит,1695 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,поддержка трассировки лучей,8 pin,7680x4320,4,8 нм,,
Видеокарта 6 Gb EVGA GeForce RTX 2060 SC (06G-P4-2062-KR),27340,,игровая,,6144 МБ,GDDR6,14000 МГц,192 бит,1365 МГц,выход HDMI,PCI Express 3.0,,8 pin,7680x4320,4,12 нм,,
"Видеокарта HP GeForce RTX 3080 10 ГБ (HP RTX 3080), rev. 1.0",45500,,игровая,необходимость дополнительного питания,10240 МБ,GDDR6X,,320 бит,1710 МГц,,PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin + 8 pin,7680x4320,,8 нм,320 Вт,
Видеокарта Palit RTX3060 STORMX 8GB GDDR6 128bit 3-DP HDMI,29516,Retail,игровая,,8192 МБ,GDDR6,15000 МГц,192 бит,1320 МГц,"выход DisplayPort, выход DisplayPort x 3, выход HDMI",PCI Express 4.0,,8 pin,,4,8 нм,,
"Видеокарта Palit GeForce RTX 3080 GameRock 10GB (NED3080U19IA-1020G), Retail",89964,Retail,игровая,,10240 МБ,GDDR6X,19000 МГц,320 бит,1440 МГц,"выход DisplayPort, выход DisplayPort x 3, выход HDMI, интерфейс USB Type-C",PCI Express 4.0,"поддержка CUDA, поддержка Vulkan, поддержка трассировки лучей",8 pin+8 pin+8 pin,7680x4320,4,8 нм,340 Вт,
"Видеокарта MSI GeForce RTX 4070 Ti SUPRIM 12G, Retail",96490,Retail,игровая,,12288 МБ,GDDR6X,21000 МГц,192 бит,2310 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка Vulkan, поддержка трассировки лучей",16 pin,7680x4320,4,5 нм,285 Вт,
"Видеокарта Colorful iGame GeForce RTX 3060 Ti Ultra W OC G6X V2-V (RTX 3060 Ti Ultra W OC G6X V2-V), Retail",52175,Retail,игровая,необходимость дополнительного питания,8192 МБ,GDDR6X,19000 МГц,256 бит,1410 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,поддержка CUDA,8 pin + 8 pin,7680x4320,4,8 нм,265 Вт,
"Видеокарта Sapphire PULSE Radeon RX 6500 XT 4Gb, 11314-01-20G, Retail",18200,Retail,игровая,необходимость дополнительного питания,4096 МБ,GDDR6,18000 МГц,64 бит,2825 МГц,"выход DisplayPort, выход HDMI",PCI Express 4.0,"поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",6 pin,7680x4320,2,6 нм,130 Вт,
"Видеокарта Sinotex Ninja GeForce GT740 4GB (NF74NP045F), Retail",6761,Retail,игровая,,4096 МБ,GDDR5,5000 МГц,128 бит,993 МГц,"выход DVI, выход HDMI, выход VGA",PCI Express 3.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan",,4096x2160,3,28 нм,,
Видеокарта 8Gb GDDR5 Sapphire RADEON RX 580 Б/У,12800,,,,8000 МБ,GDDR5,,256 бит,,"выход DVI, выход DisplayPort x 2, выход HDMI x 2",PCI Express 3.0,,,5120x2880,,,,
"Видеокарта AMD Radeon Pro W5700 (100-506085), Retail",109990,Retail,профессиональная,необходимость дополнительного питания,8192 МБ,GDDR6,,1024 бит,,"выход Mini DisplayPort x 5, интерфейс USB Type-C",PCI Express 4.0,поддержка Vulkan,8 pin + 6 pin,7680x4320,6,7 нм,205 Вт,
Видеокарта INNO3D RTX3060Ti GDDR6X ICHILL X4 8GB GDDR6X 256-bit DPx3 HDMI 1695MHz/19Gbps VA35R GA104,51154,,игровая,,8192 МБ,GDDR6X,19000 МГц,256 бит,1410 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,,8 pin + 8 pin,7680x4320,4,8 нм,,
Видеокарта PCI-e nVidia GeForce GTX 550Ti 1Gb GDDR5 192bit,3380,OEM,,,1024 МБ,GDDR5,,192 бит,,,PCI Express 2.1,,,,2,,,
"Видеокарта MSI GeForce RTX 4090 SUPRIM X 24G, Retail",192500,Retail,игровая,"Low Hash Rate, необходимость дополнительного питания",24576 МБ,GDDR6X,21000 МГц,384 бит,2235 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка трассировки лучей",16 pin,7680x4320,4,5 нм,450 Вт,
Видеокарта 512Mb PCI-E DDR3 RADEON HD6450 DVI+HDMI,1600,,,,,,,,,,,,,,,,,
Видеокарта Sapphire NITRO+ AMD Radeon RX 570 8G DUAL,9490,OEM,игровая,необходимость дополнительного питания,8192 МБ,GDDR5,,256 бит,1168 МГц,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,,8 pin + 6 pin,5120x2880,5,14 нм,195 Вт,
Видеокарта Gigabyte GeForce RTX 3060 GAMING OC LHR 12G (N3060GAMING OC-12GD 2.0),48480,,игровая,,12288 МБ,GDDR6,,192 бит,,,PCI Express 4.0,,8 pin,7680x4320,,8 нм,,
"Видеокарта GIGABYTE AORUS Radeon RX 6900 XT Xtreme Waterforce WB 16G (GV-R69XTAORUSX WB-16GD), Retail",57396,Retail,игровая,"водяное охлаждение, необходимость дополнительного питания, пассивное охлаждение",16384 МБ,GDDR6,16000 МГц,256 бит,2375 МГц,"выход DisplayPort x 2, выход HDMI x 2",PCI Express 4.0,"поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin+8 pin+8 pin,7680x4320,4,7 нм,,
"Видеокарта GIGABYTE GeForce GTX 1650 D6 OC Low Profile 4G (GV-N1656OC-4GL), Retail",21956,Retail,игровая,низкопрофильная карта (Low Profile),4096 МБ,GDDR6,12000 МГц,128 бит,1620 МГц,"выход DVI, выход DisplayPort, выход HDMI, выход HDMI x 2, интерфейс USB Type-C",PCI Express 3.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan",,7680x4320,4,12 нм,,
Видеокарта ZOTAC GAMING GeForce RTX 3080 Trinity OC 10GB (ZT-A30800K-10PLHR) Белая,70000,Retail,игровая,,10240 МБ,GDDR6X,,320 бит,,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,,8 pin + 8 pin,7680x4320,4,8 нм,,
"Видеокарта NVIDIA GeForce RTX 3070M Laptop 8G (rev. 1.0/1.1), OEM",40900,OEM,игровая,"внешняя видеокарта, необходимость дополнительного питания",8192 МБ,GDDR6,3600 МГц,256 бит,1450 МГц,"выход DisplayPort, выход DisplayPort x 2, выход HDMI x 2",PCI Express 4.0,"поддержка CUDA, поддержка трассировки лучей",8 pin,3840x2160,2,8 нм,,
"Видеокарта ASUS Phoenix Radeon 550 2GB (PH-550-2G), Retail",7790,Retail,игровая,,2048 МБ,GDDR5,6000 МГц,64 бит,1183 МГц,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,,,7680x4320,3,14 нм,,
Видеокарта MSI Radeon RX 5700 8GT OEM,20700,,игровая,,8192 МБ,GDDR6,,,,выход DisplayPort x 3,PCI Express 4.0,,,,,,,
"Видеокарта XFX SPEEDSTER QICK 319 AMD Radeon RX 6700 XT 12GB (RX-67XTYPBDP), Retail",49990,Retail,,,12288 МБ,GDDR6,2000 МГц,192 бит,2457 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,,8 pin + 8 pin,7680x4320,4,7 нм,300 Вт,
Видеокарта KFA2 nVidia GeForce RTX 4090 HOF PCI-E 24576Mb GDDR6X 384 Bit Retail 49NXM5MD6PHK,200000,,игровая,необходимость дополнительного питания,24576 МБ,GDDR6X,21000 МГц,384 бит,2610 МГц,выход HDMI,PCI Express 4.0,поддержка HDCP,16 pin,7680x4320,4,5 нм,,
Видеокарта KFA2 nVidia GeForce RTX 4090 HOF PCI-E 24576Mb GDDR6X 384 Bit Retail 49NXM5MD6PHK,200000,,игровая,необходимость дополнительного питания,24576 МБ,GDDR6X,21000 МГц,384 бит,2610 МГц,выход HDMI,PCI Express 4.0,поддержка HDCP,16 pin,7680x4320,4,5 нм,,
"Видеокарта Palit GeForce RTX 4090 GameRock 24GB (NED4090019SB-1020G), Retail",164900,Retail,игровая,необходимость дополнительного питания,24576 МБ,GDDR6X,21000 МГц,384 бит,2235 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка Vulkan, поддержка трассировки лучей",16 pin,7680x4320,4,4 нм,450 Вт,
Видеокарта MSI GeForce RTX 3060 VENTUS 2X 12G OC,35500,,,,,,,,,,,,,,,,,
"Видеокарта AFOX Radeon RX 570 8Гб (AFRX570-8192D5H3-V2), Retail",12190,Retail,игровая,необходимость дополнительного питания,8192 МБ,GDDR5,7000 МГц,256 бит,1284 МГц,"выход DVI, выход DisplayPort x 3, выход HDMI",PCI Express 3.0,поддержка HDCP,8 pin,3840x2160,5,14 нм,,
"Видеокарта GIGABYTE GeForce GTX 1650 D6 OC 4G (GV-N1656OC-4GD) rev. 2.0, Retail",14829,Retail,игровая,,4096 МБ,GDDR6,12000 МГц,128 бит,1635 МГц,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,,6 pin,7680x4320,3,12 нм,,
"Видеокарта ASUS DUAL Radeon RX 6700 XT OC Edition 12GB (DUAL-RX6700XT-O12G), Retail",42290,Retail,игровая,необходимость дополнительного питания,12288 МБ,GDDR6,16000 МГц,192 бит,2474 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin + 6 pin,7680x4320,4,7 нм,,
"Видеокарта Sinotex Ninja GeForce GTX 1660 Super 6GB (NH166SF66S), Retail",17660,Retail,игровая,необходимость дополнительного питания,6144 МБ,GDDR6,14000 МГц,192 бит,1530 МГц,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan",8 pin,7680x4320,3,12 нм,125 Вт,
Видеокарта 8.0 Гб HP GeForce RTX 3060 TI [M31640-001],30700,OEM,игровая,,8192 МБ,GDDR6,15000 МГц,192 бит,1807 МГц,выход HDMI x 2,PCI Express 4.0,поддержка CUDA,8 pin,7680x4320,4,8 нм,,
Видеокарта Sapphire AMD Radeon R9 390,19850,,,,,DDR5,,,,"выход DisplayPort, выход HDMI, DVI-D",,,,4096x2160,,,,
Видеокарта 512Mb PCI-E DDR2 Sapphire radeon HD3650,1000,,,,512 МБ,GDDR3,1600 МГц,128 бит,,,,,,,,,,
"Видеокарта Palit GeForce RTX 4070 Ti GamingPro OC 12G (NED407TT19K9-1043A), Retail",85390,Retail,игровая,необходимость дополнительного питания,12000 МБ,GDDR6X,21000 МГц,192 бит,2310 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",16 pin,7680x4320,4,5 нм,285 Вт,
"Видеокарта Colorful iGame GeForce RTX 3070 Ultra W OC LHR-V 8GB, Retail",53500,Retail,игровая,"Low Hash Rate, необходимость дополнительного питания",8192 МБ,GDDR6,14000 МГц,256 бит,1500 МГц,"выход HDMI, выход Mini DisplayPort x 3",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin + 8 pin,7680x4320,4,8 нм,240 Вт,поддержка SLI/CrossFire
Видеокарта 256Mb AGP DDR GeForce FX 5500 128bit D-Sub+DVI+TV Out,1100,,,,,,,,,,,,,,,,,
Видеокарта Colorful GeForce RTX 3080 NB 10G LHR-V,52900,Retail,игровая,Low Hash Rate,10240 МБ,GDDR6X,19000 МГц,320 бит,1710 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка Vulkan, поддержка трассировки лучей",8 pin + 8 pin,7680x4320,4,8 нм,320 Вт,поддержка NVLink
"Видеокарта ASUS GeForce GT 730 2GB (GT730-SL-2GD5-BRK), Retail",5600,Retail,,,2048 МБ,GDDR5,5010 МГц,64 бит,902 МГц,"выход DVI, выход HDMI, выход VGA",PCI Express 2.0,,,2560x1600,2,28 нм,25 Вт,
"Видеокарта GIGABYTE GeForce RTX 3060 WINDFORCE OC 12GB, (GV-N3060WF2OC-12GD Rev 2.0), Retail",35490,Retail,игровая,"Low Hash Rate, необходимость дополнительного питания",12288 МБ,GDDR6,15000 МГц,192 бит,1792 МГц,"выход DisplayPort x 2, выход HDMI x 2",PCI Express 4.0,поддержка трассировки лучей,8 pin,7680x4320,4,8 нм,,
Видеокарта ASUS EN8400GS/P/512M/A(LP) GeForce 8400GS 512 Mb,1290,,,,512 МБ,,,64 бит,,выход VGA,,,,,,,,
"Видеокарта INNO3D GeForce RTX 3060 TWIN X2 12Gb (N30602-12D6-119032AH), Retail",34561,Retail,игровая,необходимость дополнительного питания,12288 МБ,GDDR6,15000 МГц,192 бит,1320 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin,7680x4320,4,8 нм,170 Вт,
Видеокарта Palit GeForce 7600 GS 400Mhz PCI-E 256Mb 800Mhz 128 bit DVI TV YPrPb,2000,,,,256 МБ,GDDR2,800 МГц,128 бит,400 МГц,выход DVI,,,,2560x1600,2,90 нм,,
Видеокарта SAPPHIRE NITRO+ RX 6950 XT GAMING OC 16GB (S88-6E440-002SA),80120,Retail,игровая,,16384 МБ,GDDR6,1793.5 МГц,256 бит,1890 МГц,выход HDMI,,,,,4,,335 Вт,
"Видеокарта GIGABYTE Radeon RX 6500 XT EAGLE 4G (GV-R65XTEAGLE-4GD), Retail",14500,Retail,игровая,необходимость дополнительного питания,4096 МБ,GDDR6,18000 МГц,64 бит,2610 МГц,"выход DisplayPort, выход HDMI",PCI Express 4.0,"поддержка HDCP, поддержка Vulkan",6 pin,7680x4320,2,6 нм,107 Вт,
"Видеокарта AFOX GeForce GTX 1660 Super (AF1660S-6144D6H4-V2), Retail",20741,Retail,игровая,необходимость дополнительного питания,6144 МБ,GDDR6,14000 МГц,192 бит,1530 МГц,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,"поддержка CUDA, поддержка HDCP",8 pin,7680x4320,4,12 нм,450 Вт,
"Видеокарта ASUS ROG Strix Radeon RX 5700 XT OC edition 8GB (ROG-STRIX-RX5700XT-O8G-GAMING), Retail",22000,Retail,игровая,,8192 МБ,GDDR6,14000 МГц,256 бит,1770 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,,8 pin + 8 pin,7680x4320,6,7 нм,,поддержка SLI/CrossFire
Видеокарта Sapphire RX6950XT GAMING OC 16GB GDDR6 256-bit HDMI DPx3 LITE,99209,,игровая,,,GDDR6,18000 МГц,256 бит,2116 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,,8 pin+8 pin+6 pin,7680x4320,4,7 нм,,
"Видеокарта GIGABYTE GeForce RTX 3060 EAGLE 12G (GV-N3060EAGLE-12GD) rev. 2.0, Retail",34302,Retail,игровая,"Low Hash Rate, необходимость дополнительного питания",12288 МБ,GDDR6,15000 МГц,192 бит,1777 МГц,"выход DisplayPort x 2, выход HDMI, выход HDMI x 2",PCI Express 4.0,"поддержка CUDA, поддержка Vulkan, поддержка трассировки лучей",8 pin,7680x4320,4,8 нм,,
Видеокарта ASUS DUAL-RTX2060-O6G,20900,Retail,игровая,,,GDDR6,,192 бит,,,PCI Express 3.0,,,,,12 нм,,
"Видеокарта ASUS ASUS Dual Radeon RX 6650 XT 8GB (DUAL-RX6650XT-O8G), Retail",31352,Retail,профессиональная,необходимость дополнительного питания,8192 МБ,GDDR6,17500 МГц,128 бит,2689 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка HDCP, поддержка Vulkan",8 pin,7680x4320,4,7 нм,,"поддержка NVLink, поддержка SLI/CrossFire"
"Видеокарта Palit GeForce RTX 3080 GameRock V1 LHR (NED3080U19IA-1020G V1), Retail",78290,Retail,игровая,,10240 МБ,GDDR6X,19000 МГц,320 бит,1440 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка Vulkan, поддержка трассировки лучей",8 pin+8 pin+8 pin,7680x4320,4,8 нм,340 Вт,
Плата видеокарты Zotac GeForce 9800 GTX+ 512Mb,350₽,,,,512 МБ,,,,,,,,,,,,,
Видеокарта 8Gb PCI-E RADEON RX 580 GDDR5 GIGABYTE GV-RX580GAMING-8GD Rev1.1 DVI+HDMI+3xDP,12200,,,,8192 МБ,GDDR5,,,,выход HDMI,,,,,,,,
"Видеокарта EVGA GeForce RTX 3080 FTW3 GAMING 10GB (10G-P5-3895-KR), Retail",73990,Retail,игровая,,10240 МБ,GDDR6X,19000 МГц,320 бит,1755 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,,8 pin+8 pin+8 pin,7680x4320,4,8 нм,,
"Видеокарта Sapphire PULSE Radeon RX 6650 XT 8Gb (11319-03-20G), Retail",31500,Retail,игровая,необходимость дополнительного питания,8192 МБ,GDDR6,17500 МГц,128 бит,2635 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка HDCP, поддержка Vulkan",8 pin,7680x4320,4,7 нм,176 Вт,
"Gigabyte GeForce GTX760 1085MHz, 2048MB (GV-N760OC-2GD)",8100,,игровая,,2048 МБ,GDDR5,1085 МГц,256 бит,1085 МГц,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,,,,,,,
"Видеокарта GIGABYTE GeForce RTX 3090 Ti GAMING OC 24G (GV-N309TGAMING OC-24GD), Retail",99715,Retail,игровая,необходимость дополнительного питания,24576 МБ,GDDR6X,21000 МГц,384 бит,1905 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",16 pin,7680x4320,4,,,поддержка NVLink
Видеокарта INNO3D RTX4070Ti X3 OC 12GB GDDR6X 192-bit,102031,Retail,игровая,необходимость дополнительного питания,12000 МБ,GDDR6X,21000 МГц,192 бит,2310 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,поддержка CUDA,16 pin,7680x4320,4,5 нм,,
Видеокарта Palit GeForce RTX 3070 GamingPro OC V1 LHR,52814,Retail,игровая,,8192 МБ,GDDR6,,256 бит,1725 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin + 8 pin,7680x4320,4,8 нм,220 Вт,
Видеокарта Sapphire Radeon HD 5750 700Mhz PCI-E 2.1 1024Mb 4600Mhz 128 bit DVI HDMI HDCP,1755,,,,,,,,,,,,,,,,,
Видеокарта Gigabyte GeForce RTX 3050 (RTX3050),27990,,игровая,,,GDDR6,14000 МГц,128 бит,,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 4.0,,8 pin,,,8 нм,,
"Видеокарта MSI GeForce GTX 1650 VENTUS XS 4G OC, Retail",13690,Retail,,,4096 МБ,GDDR5,8000 МГц,128 бит,1740 МГц,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,,,7680x4320,3,12 нм,75 Вт,
Видеокарта 1Gb PCI-E DDR3 ASUS GeForce GT430 D-Sub+DVI+HDMI,2100,,,,1024 МБ,DDR3,,,,выход HDMI,,,,,,,,
Видеокарта ASUS GeForce 9600 GT 650Mhz PCI-E 2.0 512Mb 1800Mhz 256 bit 2xDVI TV HDCP YPrPb,1048,,,,512 МБ,GDDR3,,,,,,,,,,,,
Видеокарта Nvidia RTX3070 8GB 5888SP GDDR6 256bit dual (DP 3/ hdmi 1),37290,OEM,игровая,,8192 МБ,GDDR6,,,,выход HDMI,,,,,,,,
"Видеокарта ASUS ROG Strix GeForce RTX 3080 OC 10GB (ROG-STRIX-RTX3080-O10G-GAMING), Retail",195196,Retail,игровая,,10240 МБ,GDDR6X,19000 МГц,320 бит,1905 МГц,"выход DisplayPort x 3, выход HDMI x 2, интерфейс USB Type-C",PCI Express 4.0,,8 pin+8 pin+8 pin,7680x4320,4,8 нм,,
Видеокарта GIGABYTE GeForce RTX 3060 Ti GAMING OC 8G,57820,Retail,игровая,,8192 МБ,GDDR6X,14000 МГц,,1470 МГц,"выход DVI, выход DisplayPort, выход HDMI",,"поддержка CUDA, поддержка трассировки лучей",8 pin,7680x4320,,12 нм,175 Вт,
MSI RTX 4070 Ti 2655MHz PCI-E 4.0 12288Mb 21000MHz 192-bit HDMI 3xDP RTX 4070 Ti Ventus 3X 12G OC,81840,,игровая,необходимость дополнительного питания,12288 МБ,GDDR6,21000 МГц,192 бит,2520 МГц,выход HDMI,PCI Express 4.0,поддержка HDCP,16 pin,7680x4320,4,4 нм,,
"Видеокарта KFA2 GeForce RTX 3060 Ti 8GB (36ISM6MD2KCK), Retail",41990,Retail,игровая,необходимость дополнительного питания,8192 МБ,GDDR6X,19000 МГц,256 бит,1665 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,поддержка CUDA,8 pin,7680x4320,4,8 нм,,
"Видеокарта Игровая MSI GeForce RTX 2060 SUPER 8gb VENTUS Returnal, Одни Из Нас , Elden Ring, Miles Morales",21800,OEM,игровая,,8192 МБ,GDDR6,,256 бит,1665 МГц,"выход DisplayPort x 3, выход HDMI",,,,7680x4320,,12 нм,,
"Видеокарта PowerColor Radeon RX 6800 XT Red Dragon 16GB (AXRX 6800XT 16GBD6-3DHR/OC), Retail",62990,Retail,игровая,необходимость дополнительного питания,16384 МБ,GDDR6,16000 МГц,256 бит,2065 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin + 8 pin,7680x4320,4,7 нм,,
"Видеокарта ASRock Radeon RX 6700 XT Challenger D 12GB (RX6700XT CLD 12G), Retail",43875,Retail,игровая,необходимость дополнительного питания,12288 МБ,GDDR6,16000 МГц,192 бит,2321 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin + 8 pin,7680x4320,4,7 нм,,
"Видеокарта ASUS GeForce GT 1030 2GB LP (GT1030-2G-BRK), Retail",9611,Retail,игровая,,2048 МБ,GDDR5,6008 МГц,64 бит,1228 МГц,"выход DisplayPort, выход HDMI, PCI-E",PCI Express 3.0,,,4096x2160,3,14 нм,,
Видеокарта Ninja GT1030 PCIE (384SP) (NH103FG44F),7690,,игровая,,4096 МБ,DDR4,,64 бит,,"выход DisplayPort, выход HDMI",PCI Express 3.0,,,4096x2160,2,,,
Видеокарта 8 Gb Gigabyte GeForce RTX3070 AORUS (GV-N307TAORUS M-8GD),65120,Retail,игровая,,8192 МБ,GDDR6X,19000 МГц,256 бит,,"выход DisplayPort x 3, выход HDMI x 3",PCI Express 4.0,"поддержка CUDA, поддержка HDCP",8 pin+8 pin+6 pin,7680x4320,4,8 нм,,
"Видеокарта KFA2 GeForce RTX 3060 Ti SG 1-Click OC Plus 8GB (36ISM6MD1GSK), Retail",42000,Retail,игровая,необходимость дополнительного питания,8192 МБ,GDDR6X,19000 МГц,256 бит,1410 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin,7680x4320,4,8 нм,225 Вт,
Видеокарта 12 Gb Gigabyte Radeon RX6700 (GV-R67XTEAGLE-12GD),47048,Retail,игровая,необходимость дополнительного питания,12000 МБ,GDDR6,16000 МГц,192 бит,1650 МГц,"выход DisplayPort, выход HDMI",PCI Express 4.0,,8 pin + 6 pin,7680x4320,4,7 нм,250 Вт,
"Видеокарта EVGA GeForce RTX 3080 XC3 ULTRA GAMING 10GB (10G-P5-3885-KR), Retail",67890,Retail,игровая,,10240 МБ,GDDR6X,19000 МГц,320 бит,1755 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,,8 pin + 8 pin,7680x4320,4,8 нм,320 Вт,
Видеокарта Gigabyte Gaming GV-N306TXGAMING OC-8GD,47068,,,,8192 МБ,GDDR6X,,,,,PCI Express 4.0,,,,,,,
"Видеокарта Palit GeForce GT 730 Silent 2GB (NEAT7300HD46-2080H), Retail",5120,Retail,,,2048 МБ,GDDR3,1804 МГц,64 бит,902 МГц,"выход DVI, выход HDMI, выход VGA",PCI Express 2.0,поддержка CUDA,,4096x2160,2,28 нм,23 Вт,
"Видеокарта Palit GeForce RTX 3070 Ti GameRock OC 8GB (NED307TT19P2-1047G), Retail",76830,Retail,игровая,,8192 МБ,GDDR6X,19000 МГц,256 бит,1545 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,,8 pin + 8 pin,7680x4320,4,8 нм,330 Вт,
"Видеокарта ASUS DUAL GeForce GTX 1660 SUPER OC EVO 6GB (DUAL-GTX1660S-O6G-EVO), Retail",30324,Retail,игровая,,6144 МБ,GDDR6,14002 МГц,192 бит,1830 МГц,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,,8 pin,7680x4320,3,12 нм,,
Видеокарта PCIE16 GTX1650 4GB GDDR6 GV-N1656OC-4GD V2.0 GIGABYTE,18140,,игровая,,4096 МБ,GDDR6,,128 бит,1635 МГц,"выход DisplayPort, выход HDMI",PCI Express 3.0,,6 pin,7680x4320,,12 нм,,
