Видеокарта,Цена,комплектация,область применения,особенности,объем видеопамяти,тип памяти,частота памяти,шина обмена с памятью,частота видеопроцессора,разъемы и интерфейсы,тип подключения,поддержка технологий,разъем дополнительного питания,максимальное разрешение,количество поддерживаемых мониторов,техпроцесс
"Видеокарта Biostar GeForce GT1030 4Gb (VN1034TB46), Retail",9500,Retail,игровая,нет,4096.0,GDDR4,1152.0,64.0,2100.0,"выход DVI, выход HDMI",PCI Express 3.0,"поддержка HDCP, поддержка Vulkan",8 pin,7680x4320,2,12.0
"Видеокарта AFOX Geforce GT730 4GB (AF730-4096D5H5), Retail",6426,Retail,игровая,низкопрофильная карта (Low Profile),4096.0,GDDR5,3400.0,128.0,700.0,"выход DVI, выход HDMI, выход VGA",PCI Express 2.0,поддержка HDCP,8 pin,4096x2160,2,40.0
Видеокарта MSI GeForce GT 430 700Mhz PCI-E 2.0 4096Mb 1000Mhz 64 bit DVI HDMI HDCP,3580,Retail,игровая,нет,4096.0,GDDR3,1000.0,128.0,700.0,выход HDMI,PCI Express 2.0,нет,8 pin,4096x2160,2,12.0
"Видеокарта AFOX GeForce GT 730 4GB (AF730-4096D3L6), Retail",4457,Retail,игровая,"необходимость дополнительного питания, низкопрофильная карта (Low Profile)",4096.0,GDDR3,1333.0,128.0,700.0,"выход DVI, выход HDMI, выход VGA, DVI-D, PCI",PCI Express 2.0,"поддержка CUDA, поддержка HDCP",8 pin,2560x1600,3,40.0
Видеокарта Palit PCI-E PA-GTX1050Ti StormX 4G NV GTX1050TI 4096Mb 128 GDDR5 1290/7000 DVIx1/HDMIx1/D,9190,OEM,игровая,нет,4096.0,GDDR5,7000.0,128.0,1290.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,нет,8 pin,4096x2160,3,14.0
"Видеокарта ASUS Turbo GeForce GTX 1070 8GB, Retail",14890,Retail,игровая,нет,8192.0,GDDR5,8008.0,256.0,1506.0,"выход DVI, выход DisplayPort x 2, выход HDMI x 2",PCI Express 3.0,нет,8 pin,7680x4320,4,16.0
"Видеокарта MSI GeForce GT 1030 AERO ITX 2GD4 OC, Retail",7739,Retail,игровая,нет,2048.0,GDDR4,2100.0,64.0,1430.0,"выход DVI, выход HDMI",PCI Express 3.0,нет,8 pin,4096x2160,2,14.0
"Видеокарта ASUS GeForce GTX 1070 Ti 1607MHz PCI-E 3.0 8192MB 8008MHz 256 bit DVI 2xHDMI HDCP Strix Gaming Advanced edition, Retail",17500,Retail,игровая,необходимость дополнительного питания,8192.0,GDDR5,8008.0,256.0,1607.0,"выход DVI, выход DisplayPort x 2, выход HDMI x 2",PCI Express 3.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan",8 pin,7680x4320,4,16.0
"Видеокарта ASRock AMD Radeon RX 6600 XT Challenger D 8GB OC (RX6600XT CLD 8GO), Retail",31989,Retail,игровая,необходимость дополнительного питания,8192.0,GDDR6,16000.0,128.0,2000.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка HDCP, поддержка Vulkan",8 pin,7680x4320,4,7.0
"Видеокарта GIGABYTE GeForce RTX 3050 EAGLE OC 8G, GV-N3050EAGLE OC-8GD, Retail",26841,Retail,игровая,"Low Hash Rate, необходимость дополнительного питания",8192.0,GDDR6,14000.0,128.0,1552.0,"выход DisplayPort x 2, выход HDMI x 2",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin,7680x4320,4,8.0
"Видеокарта GIGABYTE GeForce RTX 3050 EAGLE OC 8G, GV-N3050EAGLE OC-8GD, Retail",26841,Retail,игровая,"Low Hash Rate, необходимость дополнительного питания",8192.0,GDDR6,14000.0,128.0,1552.0,"выход DisplayPort x 2, выход HDMI x 2",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin,7680x4320,4,8.0
"Видеокарта GIGABYTE Radeon RX 6800 GAMING OC 16GB (GV-R68GAMING OC-16GD), Retail",54171,Retail,игровая,нет,16384.0,GDDR6,16000.0,256.0,2155.0,"выход DisplayPort x 2, выход HDMI, выход HDMI x 2",PCI Express 4.0,нет,8 pin + 8 pin,7680x4320,4,7.0
"Видеокарта AFOX GeForce 210 512Mb (AF210-512D3L3-V2), Retail",2460,Retail,игровая,необходимость дополнительного питания,512.0,GDDR3,1600.0,64.0,550.0,"выход DVI, выход HDMI, выход VGA",PCI Express 2.0,"поддержка CUDA, поддержка HDCP",8 pin,2560x1600,3,40.0
"Видеокарта Sapphire NITRO+ RX 6700 XT 12Gb Gaming (11306-01-20G), Retail",34900,Retail,игровая,нет,12288.0,GDDR6,16000.0,192.0,2548.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,нет,8 pin + 6 pin,7680x4320,4,7.0
"Видеокарта PowerColor Radeon RX 6600 Fighter 8GB (AXRX 6600 8GBD6-3DH), OEM",26872,OEM,игровая,необходимость дополнительного питания,8192.0,GDDR6,14000.0,128.0,1626.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,поддержка Vulkan,8 pin,7680x4320,4,7.0
"Видеокарта GIGABYTE GeForce RTX 3080 GAMING OC 10G (GV-N3080GAMING OC-10GD rev. 2.0), Retail",81270,Retail,игровая,нет,10240.0,GDDR6X,19000.0,320.0,1800.0,"выход DisplayPort, выход DisplayPort x 3, выход HDMI x 2, интерфейс USB Type-C",PCI Express 4.0,поддержка трассировки лучей,8 pin + 8 pin,7680x4320,4,8.0
MAXSUN GeForce RTX 2060 SUPER 8 ГБ (GeForce RTX2060 Super iCraft 8G),24990,Retail,игровая,нет,8192.0,GDDR6,1750.0,256.0,1470.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin,4096x2160,2,12.0
MAXSUN GeForce RTX 2060 SUPER 8 ГБ (GeForce RTX2060 Super iCraft 8G),24990,Retail,игровая,нет,8192.0,GDDR6,1750.0,256.0,1470.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin,4096x2160,2,12.0
Видеокарта MSI NVIDIA GeForce RTX 3060 Ti GAMING Z TRIO 8G (LHR) (RTX 3060 TI GAMING Z TRIO 8G LHR),45060,Retail,игровая,Low Hash Rate,8192.0,GDDR6,14000.0,256.0,1845.0,"выход DisplayPort, выход DisplayPort x 3, выход HDMI, интерфейс USB Type-C",PCI Express 4.0,поддержка трассировки лучей,8 pin + 8 pin,7680x4320,4,8.0
"Видеокарта MSI GeForce GTX 1050 Ti 4GT LP, Retail",14258,Retail,игровая,нет,4096.0,GDDR5,7008.0,128.0,1290.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,нет,8 pin,7680x4320,3,14.0
"Видеокарта GIGABYTE GeForce GTX 1660 1785MHz PCI-E 3.0 6144MB 8002MHz 192 bit HDMI 3xDisplayPort HDCP D5, Retail",18600,Retail,игровая,необходимость дополнительного питания,6144.0,GDDR5,8002.0,192.0,1785.0,"выход DisplayPort x 3, выход HDMI",PCI Express 3.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan",8 pin,7680x4320,4,12.0
"Видеокарта Sinotex Ninja GeForce GT 210 1GB (NK21NP013F), Retail",2290,Retail,игровая,низкопрофильная карта (Low Profile),1024.0,GDDR3,1333.0,64.0,589.0,"выход DVI, выход HDMI, выход VGA",PCI Express 2.0,поддержка HDCP,8 pin,2560x1600,2,40.0
Видеокарта Palit GTX1060 SUPER JETSTREAM 6144M GDDR5 192bit DVI 3 DP HDMI,10990,Retail,игровая,нет,6144.0,GDDR5,8000.0,192.0,1530.0,выход DisplayPort x 3,PCI Express 3.0,нет,6 pin,4096x2160,2,16.0
Видеокарта KFA2 (Galax) GeForce GTX 1660 SUPER,19800,OEM,игровая,необходимость дополнительного питания,6144.0,GDDR6,14000.0,192.0,1530.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan",8 pin,7680x4320,3,12.0
"Видеокарта MSI GTX 1650 D6 VENTUS XS V1, Retail",14829,Retail,игровая,нет,4096.0,GDDR6,12000.0,128.0,1590.0,"выход DVI, выход DisplayPort, выход HDMI, интерфейс USB Type-C",PCI Express 3.0,"поддержка CUDA, поддержка HDCP",6 pin,7680x4320,3,12.0
Видеокарта MSI RTX 3050 VENTUS 2X 8G OCV1,26580,Retail,игровая,необходимость дополнительного питания,8192.0,GDDR6,14000.0,128.0,1807.0,"выход DisplayPort x 2, выход HDMI, выход HDMI x 2",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",6 pin,7680x4320,4,8.0
"Видеокарта Palit GeForce RTX 4070 Ti GameRock 12G (NED407T019K9-1045G), Retail",89990,Retail,игровая,нет,12288.0,GDDR6X,16000.0,192.0,2310.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan",16 pin,7680x4320,4,5.0
"Видеокарта MSI GeForce RTX 3080 GAMING Z TRIO 10G LHR, Retail",74850,Retail,игровая,нет,10240.0,GDDR6X,19000.0,320.0,1830.0,"выход DisplayPort x 3, выход HDMI, интерфейс USB Type-C",PCI Express 4.0,нет,8 pin+8 pin+8 pin,7680x4320,4,8.0
"Видеокарта Sinotex Ninja Radeon R5 230 2GB (AKR523023F), Retail",3059,Retail,игровая,низкопрофильная карта (Low Profile),2048.0,GDDR3,1333.0,64.0,625.0,"выход DVI, выход HDMI, выход VGA, PCI-E",PCI Express 3.0,поддержка HDCP,8 pin,2560x1600,2,40.0
Видеокарта NVIDIA GeForce RTX 3070M Laptop 8G OEM,27500,OEM,игровая,необходимость дополнительного питания,8192.0,GDDR6,14000.0,256.0,1450.0,"выход DisplayPort x 2, выход HDMI x 2",PCI Express 4.0,"поддержка CUDA, поддержка трассировки лучей",8 pin,3840x2160,2,8.0
"Видеокарта MSI GeForce RTX 3070 GAMING Z TRIO 8G LHR, Retail",58950,Retail,игровая,необходимость дополнительного питания,8192.0,GDDR6,14000.0,256.0,1845.0,"выход DisplayPort x 3, выход HDMI, интерфейс USB Type-C",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin + 8 pin,7680x4320,4,8.0
"Видеокарта GIGABYTE GeForce RTX 3070 EAGLE OC 8G (GV-N3070EAGLE OC-8GD) (rev. 2.0), Retail",44656,Retail,игровая,Low Hash Rate,8192.0,GDDR6,14000.0,256.0,1770.0,"выход DisplayPort x 2, выход HDMI, выход HDMI x 2",PCI Express 4.0,"поддержка CUDA, поддержка трассировки лучей",8 pin + 6 pin,7680x4320,4,8.0
"Видеокарта ASUS GeForce GTX 1650 OC 4GB (GTX1650-O4G-LP-BRK), Retail",17484,Retail,игровая,низкопрофильная карта (Low Profile),4096.0,GDDR5,8002.0,128.0,1485.0,"выход DVI, выход DisplayPort, выход HDMI, интерфейс USB Type-C",PCI Express 3.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan",8 pin,7680x4320,3,12.0
Видеокарта Gigabyte RTX4070 GAMING OC 12GB,75540,Retail,игровая,нет,12288.0,GDDR6X,16000.0,192.0,2565.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка трассировки лучей",16 pin,7680x4320,4,8.0
Видеокарта MSI GeForce GTX 1660 SUPER 1815MHz PCI-E 3.0 6144MB 14000MHz 192 bit 3xDisplayPort HDMI HDCP VENTUS XS OC,13990,Retail,игровая,нет,6144.0,GDDR6,14000.0,192.0,1815.0,"выход DisplayPort x 3, выход HDMI",PCI Express 3.0,нет,8 pin,4096x2160,2,12.0
"Видеокарта Sinotex Ninja GeForce GTX 1050 Ti 4GB (NK105TI45F), Retail",12047,Retail,игровая,нет,4096.0,GDDR5,8000.0,128.0,1290.0,"выход DVI, выход DisplayPort, выход HDMI, интерфейс USB Type-C",PCI Express 3.0,нет,8 pin,4096x2160,3,14.0
"Видеокарта GIGABYTE GeForce GTX 1080 Ti Gaming OC 11G (GV-N108TGAMING OC-11GD), Retail",21700,Retail,игровая,нет,11264.0,GDDR5X,11010.0,352.0,1544.0,"выход DVI, выход DisplayPort x 3, выход HDMI",PCI Express 3.0,нет,8 pin + 6 pin,7680x4320,4,16.0
Видеокарта Axle RX580 PCI-E 8G DDR5 256bit HDMI/DPx2 WITH COOLER,9999,Retail,игровая,нет,8192.0,GDDR5,7000.0,256.0,1665.0,"выход DVI, выход HDMI",PCI Express 3.0,нет,8 pin,4096x2160,2,8.0
Видеокарта GIGABYTE GeForce 9600 GT 650Mhz 512Mb/256 bit,1053,Retail,игровая,нет,512.0,GDDR3,1800.0,256.0,650.0,выход DVI x 2,PCI Express 2.0,нет,8 pin,2560x1600,2,65.0
"Видеокарта ASUS Phoenix GeForce GTX 1650 OC 4GB (PH-GTX1650-O4GD6), Retail",14105,Retail,игровая,нет,4096.0,GDDR6,12000.0,128.0,1605.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,нет,8 pin,7680x4320,3,12.0
"Видеокарта MSI GeForce RTX 3060 Ti VENTUS 2X 8GD6X OC, Retail",45500,Retail,игровая,необходимость дополнительного питания,8192.0,GDDR6X,19000.0,256.0,1410.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin + 8 pin,7680x4320,4,8.0
Видеокарта ASUS GeForce GTS 450 783Mhz PCI-E 2.0 1024Mb 3608Mhz 128 bit DVI HDMI HDCP,1755,Retail,игровая,нет,1024.0,GDDR5,3608.0,64.0,783.0,выход HDMI,PCI Express 3.0,нет,8 pin,4096x2160,2,40.0
"Видеокарта Gainward GeForce RTX 2060 SUPER Ghost 8GB (NE6206S018P2-1160X-1), Retail",28490,Retail,игровая,нет,8192.0,GDDR6,7000.0,256.0,1650.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan",8 pin,7680x4320,3,12.0
"Видеокарта Palit GeForce GTX 1660 Ti Dual 6GB (NE6166T018J9-1160C), Retail",30990,Retail,игровая,необходимость дополнительного питания,6144.0,GDDR6,12000.0,192.0,1500.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,"поддержка CUDA, поддержка Vulkan",8 pin,7680x4320,3,12.0
"Видеокарта ASUS GeForce GTX 1080 Ti 1569MHz PCI-E 3.0 11264MB 11010MHz 352 bit DVI 2xHDMI HDCP Strix OC Gaming, Retail",27400,Retail,игровая,нет,11264.0,GDDR5X,11010.0,352.0,1569.0,"выход DVI, выход DisplayPort x 2, выход HDMI x 2",PCI Express 3.0,нет,8 pin + 8 pin,7680x4320,4,16.0
"Видеокарта Palit GeForce GTX 1660 SUPER GP 6GB (NE6166S018J9-1160A), Retail",23118,Retail,игровая,нет,6144.0,GDDR6,14000.0,192.0,1530.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,нет,8 pin,7680x4320,3,12.0
"Видеокарта GIGABYTE Radeon RX 6650 XT GAMING OC 8G (GV-R665XTGAMING OC-8GD), Retail",31025,Retail,игровая,необходимость дополнительного питания,8192.0,GDDR6,17500.0,128.0,2694.0,"выход DisplayPort x 2, выход HDMI x 2",PCI Express 4.0,"поддержка HDCP, поддержка Vulkan",8 pin,7680x4320,4,7.0
"Видеокарта ASUS ROG Strix GeForce RTX 3050 OC Edition 8GB, ROG-STRIX-RTX3050-O8G-GAMING, Retail",48900,Retail,игровая,необходимость дополнительного питания,8192.0,GDDR6,14000.0,128.0,1552.0,"выход DisplayPort x 3, выход HDMI x 2",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin,7680x4320,4,8.0
"Видеокарта Palit GeForce RTX 3060 Ti Dual OC 8GB LHR (NE6306TS19P2-190AD V1), Retail",33077,Retail,игровая,Low Hash Rate,8192.0,GDDR6,14000.0,256.0,1410.0,"выход DisplayPort, выход DisplayPort x 3, выход HDMI, интерфейс USB Type-C",PCI Express 4.0,нет,8 pin,7680x4320,4,8.0
"Видеокарта ASUS Dual GeForce RTX 3050 OC Edition 8GB, DUAL-RTX3050-O8G, Retail",25344,Retail,игровая,необходимость дополнительного питания,8192.0,GDDR6,14000.0,128.0,1552.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin,7680x4320,4,8.0
"Видеокарта MSI GeForce RTX 2080 (RTX 2080 VENTUS 8G), Retail",27000,Retail,игровая,необходимость дополнительного питания,8192.0,GDDR6,14000.0,256.0,1515.0,"выход DisplayPort x 3, выход HDMI, интерфейс USB Type-C",PCI Express 3.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin + 6 pin,7680x4320,4,12.0
"Видеокарта EVGA GeForce RTX 3080 FTW3 ULTRA GAMING 10GB (10G-P5-3897-KL), Retail",74990,Retail,игровая,Low Hash Rate,10240.0,GDDR6X,19000.0,320.0,1800.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin + 8 pin,7680x4320,4,8.0
